##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:18 2016, Fast, 8, 100
Sat Jan  9 16:25:18 2016, Fast, 8, 100
Sat Jan  9 16:25:18 2016, Fast, 10, 100
Sat Jan  9 16:25:18 2016, Fast, 12, 100
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:19 2016, Fast, 9, 100
Sat Jan  9 16:25:19 2016, Fast, 12, 100
Sat Jan  9 16:25:19 2016, Fast, 9, 100
Sat Jan  9 16:25:19 2016, Fast, 8, 100
Sat Jan  9 16:25:19 2016, Fast, 12, 100
Sat Jan  9 16:25:19 2016, Fast, 8, 100
Sat Jan  9 16:25:19 2016, Fast, 8, 100
Sat Jan  9 16:25:19 2016, Fast, 9, 100
Sat Jan  9 16:25:19 2016, Fast, 9, 100
Sat Jan  9 16:25:19 2016, Fast, 9, 100
Sat Jan  9 16:25:19 2016, Fast, 12, 100
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 6, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 8, 100
Sat Jan  9 16:25:21 2016, Fast, 7, 100
Sat Jan  9 16:25:21 2016, Fast, 8, 100
Sat Jan  9 16:25:21 2016, Fast, 9, 100
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:23 2016, Fast, 10, 100
Sat Jan  9 16:25:23 2016, Fast, 6, 100
Sat Jan  9 16:25:23 2016, Fast, 6, 100
Sat Jan  9 16:25:23 2016, Fast, 6, 100
Sat Jan  9 16:25:23 2016, Fast, 7, 100
Sat Jan  9 16:25:23 2016, Fast, 7, 100
Sat Jan  9 16:25:23 2016, Fast, 7, 100
